year,sex,age,citizenship,count
2022,f,13,UKR,20985
2022,m,26,BLR,4127
2022,m,47,ETH,9
2022,m,35,TUR,745
2022,m,32,BLR,4950
2022,f,33,CHN,326
2022,m,30,KOR,109
2022,m,48,RUS,489
2022,m,88,GRC,11
2022,f,35,BLR,1966
2022,f,8,BLR,744
2022,f,42,RUS,438
2022,m,40,ROU,299
2022,m,14,BLR,489
2022,f,54,MDA,210
2022,m,45,KAZ,86
2022,f,52,KOR,62
2022,m,43,TUR,361
2022,m,39,ARM,127
2022,f,35,JPN,44
2022,f,4,IND,139
2022,m,50,BGR,133
2022,f,91,DEU,67
2022,m,66,UKR,2730
2022,m,50,DEU,647
2022,m,34,TUR,866
2022,f,60,UKR,11885
2022,m,33,ITA,309
2022,f,50,CZE,49
2022,m,67,CHN,44
2022,m,39,MDA,1017
2022,f,59,MDA,82
2022,m,60,DEU,820
2022,m,86,UKR,107
2022,m,11,BLR,675
2022,m,19,BLR,1398
2022,m,39,PHL,381
2022,f,7,UKR,20206
2022,f,53,UKR,17779
2022,f,11,UKR,20901
2022,f,57,RUS,198
2022,m,41,DEU,646
2022,m,18,UKR,22602
2022,m,59,UKR,6225
2022,m,39,BLR,4635
2022,f,48,UKR,25062
2022,m,27,PAK,104
2022,m,28,BLR,4355
2022,f,57,BLR,401
2022,m,64,UKR,4098
2022,m,46,TUR,292
2022,m,26,ZWE,74
2022,m,33,TUN,105
2022,m,52,UZB,112
2022,m,32,DEU,362
2022,m,96,GRC,29
2022,m,58,UNKNOWN,110
2022,m,41,LTU,120
2022,m,15,RUS,256
2022,m,71,UKR,1213
2022,f,48,MDA,376
2022,f,73,UKR,3294
2022,m,57,UNKNOWN,101
2022,m,34,LVA,94
2022,m,36,ROU,401
2022,f,37,BLR,1841
2022,m,34,AZE,205
2022,m,24,UZB,319
2022,m,27,GEO,1768
2022,m,50,MDA,568
2022,f,30,TUR,573
2022,m,36,MDA,1118
2022,f,4,BLR,653
2022,m,54,BLR,1304
2022,f,24,ROU,128
2022,f,78,AUT,13
2022,f,23,MDA,495
2022,f,26,RUS,561
2022,m,38,IND,952
2022,m,30,ESP,286
2022,f,18,BLR,1561
2022,m,32,IND,1392
2022,m,27,ROU,215
2022,f,28,BLR,2409
2022,m,9,BLR,710
2022,m,46,HUN,73
2022,f,13,IND,41
2022,m,37,BLR,4877
2022,m,64,VNM,90
2022,f,25,TUR,731
2022,m,43,BGR,191
2022,f,28,GHA,11
2022,f,0,VNM,100
2022,f,29,BLR,2213
2022,m,39,RUS,719
2022,m,39,DEU,608
2022,m,36,EGY,176
2022,m,32,GEO,2000
2022,m,7,BLR,848
2022,f,34,TUR,477
2022,m,49,DEU,554
2022,m,24,BGD,113
2022,m,41,IRL,67
2022,f,49,LTU,50
2022,f,40,UNKNOWN,184
2022,m,19,MDA,324
2022,m,35,RUS,769
2022,m,45,UZB,256
2022,m,50,BLR,2034
2022,m,43,BLR,3253
2022,f,68,MNG,6
2022,f,36,NLD,41
2022,m,25,IND,898
2022,m,37,RUS,750
2022,f,37,KAZ,75
2022,f,45,LVA,29
2022,m,50,GEO,952
2022,f,45,MDA,407
2022,f,71,AUT,51
2022,m,19,UZB,356
2022,f,82,ITA,7
2022,f,59,DEU,366
2022,m,55,RUS,300
2022,m,55,UKR,10172
2022,m,63,UKR,4892
2022,m,33,NPL,249
2022,f,35,PHL,332
2022,f,65,SVK,8
2022,m,44,BLR,3081
2022,m,40,ITA,322
2022,f,79,UKR,687
2022,m,59,UNKNOWN,113
2022,f,69,SWE,99
2022,m,44,ARM,113
2022,m,27,BLR,4415
2022,m,43,IND,563
2022,m,33,UZB,343
2022,m,30,ITA,288
2022,m,49,NLD,122
2022,m,47,ITA,285
2022,m,47,RUS,496
2022,f,8,CHN,54
2022,f,47,VNM,116
2022,m,27,KOR,79
2022,m,47,VNM,242
2022,m,33,GHA,19
2022,f,19,MDA,181
2022,m,30,NPL,325
2022,f,24,CHN,307
2022,f,20,GEO,108
2022,m,33,CHN,422
2022,m,4,KGZ,5
2022,m,0,TJK,9
2022,f,40,CHN,261
2022,f,32,TUR,653
2022,f,28,TUR,424
2022,m,22,YEM,6
2022,m,2,ROU,94
2022,m,32,PHL,211
2022,f,7,VNM,113
2022,m,53,GEO,784
2022,m,33,PHL,235
2022,m,40,MDA,895
2022,f,40,BRA,52
2022,m,39,VNM,385
2022,f,68,UKR,5501
2022,m,22,BGD,65
2022,m,36,ITA,305
2022,m,18,BLR,1182
2022,m,34,COL,87
2022,m,29,MDA,1139
2022,f,46,DEU,227
2022,f,48,VNM,108
2022,m,30,SAU,118
2022,m,31,IND,1339
2022,m,64,NLD,72
2022,m,32,LVA,75
2022,m,56,AUT,66
2022,m,5,BLR,754
2022,f,66,DEU,367
2022,f,11,SYR,6
2022,m,49,VNM,218
2022,m,31,BLR,4779
2022,f,15,SWE,9
2022,f,29,IDN,83
2022,m,14,ECU,1
2022,f,61,UNKNOWN,246
2022,m,71,DEU,516
2022,f,63,UNKNOWN,225
2022,m,26,JOR,39
2022,m,51,GEO,959
2022,f,52,UNKNOWN,302
2022,m,22,AZE,316
2022,m,26,GTM,13
2022,m,20,KAZ,261
2022,m,24,IDN,251
2022,f,52,ITA,26
2022,f,45,GEO,351
2022,m,38,SYR,33
2022,f,69,UKR,4736
2022,m,45,BLR,2932
2022,m,38,PHL,348
2022,f,37,IRN,38
2022,m,8,BLR,822
2022,m,46,UZB,223
2022,m,65,JPN,23
2022,m,72,DEU,534
2022,m,42,GEO,1452
2022,f,53,ITA,29
2022,m,42,PHL,328
2022,m,62,UKR,5806
2022,m,24,RWA,85
2022,m,39,TUR,441
2022,m,64,CHN,53
2022,f,50,UNKNOWN,337
2022,m,67,UKR,2262
2022,m,22,ECU,12
2022,m,38,GEO,1632
2022,f,30,CRI,6
2022,m,22,TUR,704
2022,m,35,IND,1194
2022,m,32,TUR,1156
2022,f,9,BGD,2
2022,m,41,GEO,1583
2022,m,45,UNKNOWN,110
2022,f,18,RUS,279
2022,m,31,GEO,2047
2022,m,45,USA,147
2022,m,36,MAR,50
2022,f,43,KOR,97
2022,f,22,MDA,446
2022,m,22,RUS,380
2022,m,29,EGY,106
2022,m,42,RUS,614
2022,m,36,MKD,6
2022,f,40,CMR,7
2022,f,45,CAN,22
2022,m,54,TUR,137
2022,m,29,GEO,1628
2022,f,24,RUS,466
2022,f,31,CZE,52
2022,m,24,GEO,1404
2022,m,1,AFG,14
2022,m,58,SVK,41
2022,f,35,ROU,162
2022,f,34,CHN,311
2022,m,23,AZE,337
2022,m,40,CZE,95
2022,m,51,NLD,147
2022,m,61,BLR,485
2022,f,42,PHL,225
2022,m,47,BLR,2481
2022,m,53,USA,143
2022,m,4,VNM,108
2022,f,62,BLR,251
2022,m,27,MEX,47
2022,m,32,UZB,342
2022,m,46,BLR,2747
2022,f,34,KOR,52
2022,m,45,GEO,1366
2022,f,90,RUS,15
2022,f,40,TUR,99
2022,m,31,IRL,34
2022,m,54,CYP,6
2022,m,74,UNKNOWN,48
2022,f,46,KAZ,58
2022,f,53,SVK,28
2022,m,10,BLR,691
2022,m,49,GEO,1018
2022,f,18,ARM,27
2022,m,41,RUS,629
2022,f,25,IRN,18
2022,m,28,NPL,308
2022,m,19,IND,98
2022,f,72,UKR,3308
2022,m,23,GHA,12
2022,m,52,FRA,183
2022,m,21,GEO,955
2022,m,75,UKR,589
2022,m,37,IND,1151
2022,m,26,GEO,1737
2022,m,34,GEO,1681
2022,m,49,BEL,49
2022,m,27,IND,1406
2022,m,23,BLR,3422
2022,m,36,TUR,643
2022,m,33,ZWE,37
2022,m,43,ROU,265
2022,f,29,CHN,240
2022,f,56,CHN,63
2022,f,72,SWE,89
2022,f,41,PHL,250
2022,m,28,RUS,592
2022,f,46,MDA,423
2022,f,27,GEO,263
2022,m,28,UNKNOWN,68
2022,m,55,HRV,24
2022,m,30,TUR,1150
2022,m,38,ALB,52
2022,m,34,TJK,95
2022,f,26,KEN,30
2022,m,68,UKR,1939
2022,m,57,LVA,34
2022,m,36,CYP,6
2022,f,45,BLR,1113
2022,m,51,BLR,1990
2022,m,64,BLR,256
2022,m,44,MDA,800
2022,m,53,BLR,1405
2022,m,56,UNKNOWN,97
2022,m,24,RUS,509
2022,f,2,MDA,38
2022,m,38,FRA,221
2022,m,61,DEU,777
2022,m,28,ZWE,68
