year,type,group,sex,age,citizenship,count
2023,disability.pension,employees,m,61,GEO,126
2023,disability.pension,employees,f,27,UKR,9538
2023,disability.pension,employees,m,56,GEO,284
2023,disability.pension,employees,f,42,RUS,118
2023,disability.pension,employees,m,54,UKR,4603
2023,disability.pension,employees,f,58,UKR,3115
2023,disability.pension,employees,m,49,KAZ,46
2023,disability.pension,employees,m,45,MDA,241
2023,disability.pension,employees,f,53,UKR,5826
2023,disability.pension,employees,m,32,UKR,11722
2023,disability.pension,employees,f,42,BLR,650
2023,disability.pension,employees,f,22,UKR,6103
2023,disability.pension,employees,m,21,UKR,3838
2023,disability.pension,employees,f,24,UKR,7075
2023,disability.pension,employees,m,17,UKR,2054
2023,disability.pension,employees,m,25,UKR,8220
2023,disability.pension,employees,m,23,UKR,5983
2023,disability.pension,employees,m,19,UKR,5445
2023,disability.pension,employees,m,34,UKR,11546
2023,disability.pension,employees,m,43,SVK,31
2023,disability.pension,employees,f,58,BLR,127
2023,disability.pension,employees,f,40,BLR,779
2023,disability.pension,employees,f,53,BLR,301
2023,disability.pension,employees,f,29,UKR,1746
2023,disability.pension,employees,f,51,UKR,1656
2023,disability.pension,employees,f,45,UKR,9529
2023,disability.pension,employees,f,57,BLR,24
2023,disability.pension,employees,m,44,UKR,8
2023,disability.pension,employees,m,63,BLR,140
2023,disability.pension,employees,f,35,BLR,1059
2023,disability.pension,employees,m,51,BLR,1248
2023,disability.pension,employees,m,73,BLR,6
2023,disability.pension,employees,m,57,BLR,564
2023,disability.pension,employees,m,44,RUS,116
2023,disability.pension,employees,m,43,BLR,220
2023,disability.pension,employees,m,28,RUS,174
2023,disability.pension,employees,f,46,PHL,90
2023,disability.pension,employees,m,53,UKR,5366
2023,disability.pension,employees,m,47,UKR,7968
2023,disability.pension,employees,f,56,BLR,195
2023,disability.pension,employees,m,41,ISL,2
2023,disability.pension,employees,m,20,UKR,2981
2023,disability.pension,employees,m,51,BLR,130
2023,disability.pension,employees,m,58,RUS,71
2023,disability.pension,employees,f,40,BLR,18
2023,disability.pension,employees,m,64,GBR,23
2023,disability.pension,employees,f,50,BLR,84
2023,disability.pension,employees,m,56,BLR,625
2023,disability.pension,employees,f,36,LVA,14
2023,disability.pension,employees,f,23,BLR,1167
2023,disability.pension,employees,f,60,UKR,2306
2023,disability.pension,employees,m,33,BLR,350
2023,disability.pension,employees,f,44,BLR,575
2023,disability.pension,employees,f,38,BLR,918
2023,disability.pension,employees,f,28,NPL,54
2023,disability.pension,employees,m,21,NPL,117
2023,disability.pension,employees,m,61,BLR,249
2023,disability.pension,employees,m,23,BLR,1914
2023,disability.pension,employees,m,29,BLR,2980
2023,disability.pension,employees,m,24,BLR,2196
2023,disability.pension,employees,f,28,BLR,1332
2023,disability.pension,employees,m,28,BLR,372
2023,disability.pension,employees,f,31,BLR,1225
2023,disability.pension,employees,f,27,BLR,188
2023,disability.pension,employees,m,73,DEU,16
2023,disability.pension,employees,m,47,GEO,522
2023,disability.pension,employees,m,49,GEO,472
2023,disability.pension,employees,m,20,BLR,662
2023,disability.pension,employees,f,60,RUS,23
2023,disability.pension,employees,m,43,ALB,18
2023,disability.pension,employees,f,31,UKR,8703
2023,disability.pension,employees,m,47,ARM,53
2023,disability.pension,employees,f,23,UKR,6645
