year,type,group,sex,age,citizenship,count
2022,disability.pension,employees,m,54,UKR,4549
2022,disability.pension,employees,m,54,DEU,63
2022,disability.pension,employees,m,53,BLR,804
2022,disability.pension,employees,m,61,BLR,222
2022,disability.pension,employees,f,75,BLR,3
2022,disability.pension,employees,m,25,UKR,9750
2022,disability.pension,employees,m,23,UKR,7228
2022,disability.pension,employees,m,46,BLR,1670
2022,disability.pension,employees,m,21,BLR,1005
2022,disability.pension,employees,m,40,BLR,2566
2022,disability.pension,employees,f,26,UKR,9918
2022,disability.pension,employees,f,27,UKR,9414
2022,disability.pension,employees,m,28,UKR,2114
2022,disability.pension,employees,m,33,BLR,3147
2022,disability.pension,employees,f,45,BLR,484
2022,disability.pension,employees,f,51,BLR,340
2022,disability.pension,employees,m,35,UKR,12323
2022,disability.pension,employees,m,58,UKR,2401
2022,disability.pension,employees,m,42,UKR,9851
2022,disability.pension,employees,m,32,UKR,11887
2022,disability.pension,employees,m,41,BLR,2394
2022,disability.pension,employees,m,42,BLR,2165
2022,disability.pension,employees,m,37,BLR,3047
2022,disability.pension,employees,m,49,BLR,1324
2022,disability.pension,employees,m,52,BLR,937
2022,disability.pension,employees,f,39,UKR,10547
2022,disability.pension,employees,m,31,UKR,1882
2022,disability.pension,employees,f,42,BLR,504
2022,disability.pension,employees,m,25,BLR,2183
2022,disability.pension,employees,m,39,UKR,11678
2022,disability.pension,employees,m,41,UKR,9996
2022,disability.pension,employees,m,40,UKR,10268
2022,disability.pension,employees,m,52,UKR,6048
2022,disability.pension,employees,m,34,UKR,12242
2022,disability.pension,employees,m,44,UKR,9391
2022,disability.pension,employees,m,21,MDA,257
2022,disability.pension,employees,m,37,UKR,11645
2022,disability.pension,employees,m,23,MDA,305
2022,disability.pension,employees,m,33,UKR,11848
2022,disability.pension,employees,m,49,BLR,126
2022,disability.pension,employees,f,48,BLR,10
2022,disability.pension,employees,m,36,UKR,12134
2022,disability.pension,employees,m,38,UKR,11771
2022,disability.pension,employees,m,47,BLR,1515
2022,disability.pension,employees,m,36,BLR,3277
2022,disability.pension,employees,m,35,BLR,3235
2022,disability.pension,employees,m,39,BLR,2900
2022,disability.pension,employees,m,29,BLR,2599
2022,disability.pension,employees,m,48,BLR,1404
2022,disability.pension,employees,m,38,BLR,2954
2022,disability.pension,employees,m,45,BLR,1738
2022,disability.pension,employees,m,31,BLR,2920
2022,disability.pension,employees,f,40,BLR,549
2022,disability.pension,employees,f,54,UKR,4666
2022,disability.pension,employees,f,43,UKR,9871
2022,disability.pension,employees,f,54,BLR,196
2022,disability.pension,employees,m,54,BLR,711
2022,disability.pension,employees,m,57,BLR,457
2022,disability.pension,employees,m,32,BLR,2979
2022,disability.pension,employees,m,44,BLR,226
2022,disability.pension,employees,m,49,RUS,145
2022,disability.pension,employees,m,38,RUS,246
2022,disability.pension,employees,m,43,BLR,2038
2022,disability.pension,employees,m,38,TUN,43
2022,disability.pension,employees,f,54,KAZ,9
2022,disability.pension,employees,m,43,UKR,9431
2022,disability.pension,employees,f,38,UKR,10109
2022,disability.pension,employees,f,43,RUS,111
2022,disability.pension,employees,m,34,BLR,3328
2022,disability.pension,employees,f,31,UKR,8743
2022,disability.pension,employees,f,34,UKR,9366
2022,disability.pension,employees,m,44,BLR,1861
2022,disability.pension,employees,m,58,BLR,389
2022,disability.pension,employees,m,51,BLR,1162
2022,disability.pension,employees,m,48,BLR,170
2022,disability.pension,employees,m,37,BLR,286
2022,disability.pension,employees,m,46,BLR,214
2022,disability.pension,employees,m,24,BLR,1912
2022,disability.pension,employees,m,30,BLR,298
2022,disability.pension,employees,f,60,BLR,73
2022,disability.pension,employees,m,48,UKR,7644
2022,disability.pension,employees,m,41,UZB,157
2022,disability.pension,employees,m,27,BLR,2498
2022,disability.pension,employees,m,27,UKR,11395
2022,disability.pension,employees,f,27,LTU,28
2022,disability.pension,employees,m,36,BLR,254
2022,disability.pension,employees,m,50,BLR,1188
2022,disability.pension,employees,f,50,GEO,28
