year,period,same_year,country_code,border,country,continent,wbd_region7,schengen,sex,age
2014,2014_I,FALSE,LBN,4,Lebanon,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,LBY,4,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,18_59
2014,2014_I,FALSE,LBY,2,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,17
2014,2014_I,FALSE,LBY,19,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,LBY,1,Libya,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,60
2014,2014_I,FALSE,LKA,1,Sri Lanka,Asia,South Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,MAR,9,Morocco,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,MDA,3,Moldova,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,FALSE,MDA,3,Moldova,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,MEX,1,Mexico,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,MNG,2,Mongolia,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_I,FALSE,MNG,4,Mongolia,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_I,FALSE,NER,1,Niger,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,NGA,13,Nigeria,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,NPL,4,Nepal,Asia,South Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,PAK,1,Pakistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,18_59
2014,2014_I,FALSE,PAK,27,Pakistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,PHL,1,Philippines,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_I,FALSE,PSE,1,Palestinian Territories,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,ROU,1,Romania,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,RUS,102,Russia,Europe,Europe & Central Asia,non-Schengen,f,17
