year,sex,country_code,country,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,continent,wbd_region7,schengen,ukr,simplified_proc
2019,f,DZA,Algeria,2,0,0,0,0,23,36,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,ECU,Ecuador,1,0,1,1,0,11,39,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,EGY,Egypt,1,0,0,0,0,49,103,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,ERI,Eritrea,0,0,0,0,0,0,2,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,ESH,Western Sahara,0,0,0,0,0,0,0,Africa,Middle East & North Africa,non-Schengen,0,0
2019,f,ETH,Ethiopia,2,2,0,2,0,36,100,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,FJI,Fiji,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,FLK,Falkland Islands,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,FRO,Faroe Islands,0,0,0,0,0,0,0,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,FSM,Micronesia (Federated States of),0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,GAB,Gabon,0,0,0,0,0,4,5,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,GEO,Georgia,70,19,3,22,2,1837,1970,Asia,Europe & Central Asia,non-Schengen,0,1
2019,f,GHA,Ghana,0,0,0,0,0,6,33,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,GIN,Guinea,0,0,0,0,0,3,7,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,GMB,Gambia,0,0,0,0,0,0,3,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,GNB,Guinea-Bissau,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,GNQ,Equatorial Guinea,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,GRD,Grenada,0,0,0,0,0,0,1,Americas,Latin America & Caribbean,non-Schengen,0,0
