year,country_code,sex,zus,country,continent,wbd_region7,schengen
2016,ERI,m,2,Eritrea,Africa,Sub-Saharan Africa,non-Schengen
2016,ESP,f,348,Spain,Europe,Europe & Central Asia,Schengen
2016,ESP,m,1614,Spain,Europe,Europe & Central Asia,Schengen
2016,EST,f,49,Estonia,Europe,Europe & Central Asia,Schengen
2016,EST,m,53,Estonia,Europe,Europe & Central Asia,Schengen
2016,ETH,f,13,Ethiopia,Africa,Sub-Saharan Africa,non-Schengen
2016,ETH,m,39,Ethiopia,Africa,Sub-Saharan Africa,non-Schengen
2016,FIN,f,87,Finland,Europe,Europe & Central Asia,Schengen
2016,FIN,m,264,Finland,Europe,Europe & Central Asia,Schengen
2016,FRA,f,368,France,Europe,Europe & Central Asia,Schengen
2016,FRA,m,2067,France,Europe,Europe & Central Asia,Schengen
2016,GAB,f,2,Gabon,Africa,Sub-Saharan Africa,non-Schengen
2016,GBR,f,334,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2016,GBR,m,1953,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2016,GEO,f,194,Georgia,Asia,Europe & Central Asia,non-Schengen
2016,GEO,m,430,Georgia,Asia,Europe & Central Asia,non-Schengen
2016,GHA,f,4,Ghana,Africa,Sub-Saharan Africa,non-Schengen
2016,GHA,m,34,Ghana,Africa,Sub-Saharan Africa,non-Schengen
2016,GIN,f,3,Guinea,Africa,Sub-Saharan Africa,non-Schengen
2016,GIN,m,28,Guinea,Africa,Sub-Saharan Africa,non-Schengen
2016,GMB,f,3,Gambia,Africa,Sub-Saharan Africa,non-Schengen
2016,GMB,m,15,Gambia,Africa,Sub-Saharan Africa,non-Schengen
2016,GRC,f,121,Greece,Europe,Europe & Central Asia,Schengen
2016,GRC,m,501,Greece,Europe,Europe & Central Asia,Schengen
2016,GRD,m,1,Grenada,Americas,Latin America & Caribbean,non-Schengen
2016,GTM,f,4,Guatemala,Americas,Latin America & Caribbean,non-Schengen
