scenario,model,Bias (%),Bias BC (%),Bias median (%),RMSE,Coverage (%),CI width (%),R_ok
NB(n)-NB(m),nb,10.9098999758207,-0.638379081259073,10.0249709191149,24405.4001835708,91.85,178.582111035723,2000
NB(n)-NB(m),nb_c,10.9113105104713,1.2043316470143,10.0488198998628,24418.3192629724,91.4,181.223458771022,2000
NB(n)-NB(m),nls,-7.64002364551314,-21.883715717462,-5.03246685874082,27404.7913106023,89.1809908998989,4598.9673174697,1979
NB(n)-NB(m),ols,-80.5381521237345,-81.633930399019,-80.8258617349731,35348.3379383845,0,27.3116987363464,2000
NB(n)-NB(m),poisson,70.6476450731497,69.7731078607662,56.531053400904,144046.414628819,88.25,422.542214285366,2000
NB(n)-NB(m),poisson_c,66.3736043066635,74.7731603701014,55.3930687289447,117479.46998411,87.95,420.366318521304,2000
NB(n)-Po(m),nb,0.848998779397844,0.306527837652026,0.866773937745074,4411.50841972602,91.85,34.6898314745496,2000
NB(n)-Po(m),nb_c,0.86357275099904,0.424486868178303,0.849490167390994,4417.9816806394,91.85,34.7326098538295,2000
NB(n)-Po(m),nls,0.352319921667209,0.193456652904759,0.626851749022331,2895.91747500932,94.3548387096774,78.9510615686074,1984
NB(n)-Po(m),ols,-75.150825568894,-75.7456904834257,-75.3048541952898,32577.4875337078,0,23.2139373657725,2000
NB(n)-Po(m),poisson,0.825220156049824,0.314713793645635,0.834410720446466,4391.96107469091,95.65,42.0762807331929,2000
NB(n)-Po(m),poisson_c,0.825234665577337,0.410694573023758,0.830513705466946,4392.06070772841,95.65,42.1213232944089,2000
Po(n)-NB(m),nb,6.89871695506323,-4.65906525907405,5.4450392902367,20226.1989582085,92.85,178.80172346583,2000
Po(n)-NB(m),nb_c,6.88925594288188,-2.94634389853942,5.39967309011406,20222.1245354328,92.75,181.545453826972,2000
Po(n)-NB(m),nls,-41.2142476048919,-62.0211529133633,-40.4404325202594,25594.8373880878,84.6426761277243,3000.37859582011,1980
Po(n)-NB(m),ols,-77.9076724114486,-78.9876311692295,-78.3177094049104,33975.0292515787,0.2,28.2238906854233,2000
Po(n)-NB(m),poisson,77.82171278759,76.2501381419773,53.5385252248211,534915.834523202,83.65,392.201660715334,2000
Po(n)-NB(m),poisson_c,63.5431115095197,64.4439832699328,50.2470108787867,165646.51667913,83.791895947974,391.293932033286,2000
Po(n)-Po(m),nb,-3.9135178501977,-4.41737977440187,-0.602920368949279,9075.56293768011,77.45,33.6645128502069,2000
Po(n)-Po(m),nb_c,-0.305969531133542,-0.738806271191501,-0.559874683220872,3464.70423748139,93.1,34.746881898307,2000
Po(n)-Po(m),nls,-6.83522088299801,-7.29714200723027,-6.58167350335597,3886.4211563799,92.9894842263395,84.7357860439047,1997
Po(n)-Po(m),ols,-70.3448288961942,-70.874016689557,-70.6955532962936,31599.8755674059,0,22.8845903198843,2000
Po(n)-Po(m),poisson,-0.396254301066323,-0.906926936020648,-0.672410337841087,3898.88246983185,95.1,40.3023095127865,2000
Po(n)-Po(m),poisson_c,-0.290546074349048,-0.707424712823536,-0.601066104155833,3412.77532064596,95.35,40.3999842934344,2000
