scenario,model,Bias (%),Bias BC (%),Bias median (%),RMSE,Coverage (%),CI width (%),Alpha intercept bias,Alpha year bias,Alpha sex bias,Gamma bias,R_ok,AIC_mean,BIC_mean
NB(n)-NB(m),nb_c,172.143503551359,169.651399688632,8.63959825423874,3225789.82806491,90.7692307692308,75.5263457736712,1.65931686491178,0.431137859663403,0.784810586219277,0.00917637795894231,975,6220.43917488282,6261.15978956903
NB(n)-NB(m),nb_twostage,222.408758822223,220.034222921964,17.0414651128498,2874854.39929376,74.6600741656366,65.6306085067587,2.24223753167183,0.569739616685608,1.05441790870515,0.00295149915818115,809,6264.49505588203,6300.12559373246
NB(n)-NB(m),nls,2.03638488100193e+114,2.00305482807706e+114,2.47030543529058e+89,6.69123514775859e+119,91.9387755102041,10078.5083665052,0.124751767793511,0.00719118327405831,0.0216809166203545,0.0686645667660149,993,,
NB(n)-NB(m),ols,-87.1881439547904,-87.3180499315034,-87.341669504685,363906.63432687,0,7.69980084815801,-0.256426835438778,0.00544113658495787,0.0220397750260363,0.00378909405329332,1000,,
NB(n)-NB(m),poisson_c,-26.0630689998939,-26.1277236384863,-36.5564732885097,296392.725959199,60.9090909090909,113.526482327374,0.06197323678549,-0.0663272000316037,0.0402480710535706,0.118820665134963,990,23654.8977319161,23690.5282697665
NB(n)-NB(m),poisson_uc,23.7349485735177,23.5902577354574,16.1289549805986,2128581.15637189,98.4,243.559361826057,-0.0045320324061358,0.000612919696800811,5.51801445271036e-05,0.00606924244691437,1000,19488.3805740721,19524.0111119225
NB(n)-Po(m),nb_c,309.18653607818,308.666181908415,206.941283082419,5734490.40791739,87.5392670157068,18.9223903042391,2.73877131043174,0.866265035334863,1.25732833839225,0.00950309080622988,955,5118.26791203313,5158.98852671933
NB(n)-Po(m),nb_twostage,497.621596610303,496.814927391712,350.806946278211,4066943.46213394,82.7503015681544,18.4847275463752,4.39737379706633,1.49194245304398,1.95331001956654,3.07372467176701e-05,829,5344.62680327192,5380.25734112236
NB(n)-Po(m),nls,0.787210503100902,0.746512231216327,0.628422189451636,31688.7346131631,99.7995991983968,39.1268051847343,0.000613673270090883,6.51954974263399e-05,-0.000515646529530558,7.90403457825943e-05,998,,
NB(n)-Po(m),ols,-83.5642092594062,-83.6449728346724,-83.7036187102322,350562.691168263,0,7.09736108686986,-0.225054750819651,0.00531344063745433,0.0198309385397562,-0.00198955695560688,1000,,
NB(n)-Po(m),poisson_c,-8.26657079957876,-8.36614849804683,-5.78581153614715,209035.226732528,91.0020449897751,19.4456401466643,0.283849105553612,-0.0715000599733061,0.159262705942122,0.031790012828822,978,5843.37924264093,5879.00978049136
NB(n)-Po(m),poisson_uc,0.113012624062312,-0.00470433736676345,0.114938241350984,9649.78198657502,99.4,18.5382967042962,-0.000184644720462739,4.95011905100229e-05,0.000119657228184118,2.43572801877557e-05,1000,4821.66261031363,4857.29314816406
Po(n)-NB(m),nb_c,174.988917283446,172.403041411139,9.69744701932875,10144838.9455378,89.5010395010395,78.6584961115824,1.56755266989166,0.381719169857173,0.760120606685954,0.0118304266605951,962,6302.52271715686,6343.24333184307
Po(n)-NB(m),nb_twostage,208.364741956749,205.604901913769,9.51651296521516,9234713.98817781,80.5115712545676,69.8872911999439,1.98448879854357,0.48802218780271,0.921388038665581,0.00974414717127089,821,6340.72759074406,6376.3581285945
Po(n)-NB(m),nls,1.13313819125306e+91,-5.44681136355522e+93,5.85796724055546e+111,2.45161473225624e+96,88.8776541961577,4494.26229947774,0.110860739071621,0.00898175310168638,-0.00940537550142404,0.187475846547837,997,,
Po(n)-NB(m),ols,-84.5595830721789,-84.7029595782896,-84.8448988620763,354713.824446273,0,8.43772794563299,-0.238787770828534,0.004708971804823,0.0299968179718079,0.230214863153473,1000,,
Po(n)-NB(m),poisson_c,-31.8777370718361,-31.9373871871785,-42.1212367402119,453171.055112919,51.340206185567,87.3935231387555,-0.0290468197802879,-0.0622662810968681,0.0522803697687099,0.131598390329979,972,23546.6354801055,23582.2660179559
